Date,Yield,Price
2017-04-27,1.326,97.331
2017-04-28,1.325,97.344
2017-05-01,1.344,97.311
2017-05-02,1.313,97.374
2017-05-03,1.352,97.301
2017-05-04,1.356,97.297
2017-05-05,1.357,97.306
2017-05-08,1.375,97.275
2017-05-09,1.388,97.252
2017-05-10,1.402,97.229
2017-05-11,1.387,97.263
2017-05-12,1.337,97.37
2017-05-15,1.346,97.356
2017-05-16,1.347,97.357
2017-05-17,1.286,97.478
2017-05-18,1.306,97.444
2017-05-19,1.307,97.452
2017-05-22,1.317,97.436
2017-05-23,1.342,97.391
2017-05-24,1.311,97.455
2017-05-25,1.313,97.455
2017-05-26,1.323,97.45
2017-05-30,1.313,97.473
2017-05-31,1.309,97.482
2017-06-01,1.317,97.471
2017-06-02,1.317,97.482
2017-06-05,1.334,97.454
2017-06-06,1.327,97.471
2017-06-07,1.341,97.447
2017-06-08,1.348,97.438
2017-06-09,1.368,97.411
2017-06-12,1.387,97.38
2017-06-13,1.395,97.369
2017-06-14,1.37,97.417
2017-06-15,1.392,97.381
2017-06-16,1.345,97.479
2017-06-19,1.392,97.396
2017-06-20,1.386,97.411
2017-06-21,1.392,97.403
2017-06-22,1.385,97.421
2017-06-23,1.373,97.452
2017-06-26,1.366,97.469
2017-06-27,1.389,97.431
2017-06-28,1.378,97.454
2017-06-29,1.393,97.431
2017-06-30,1.41,97.411
2017-07-03,1.428,97.386
2017-07-05,1.422,97.401
2017-07-06,1.419,97.409
2017-07-07,1.424,97.411
2017-07-10,1.413,97.435
2017-07-11,1.404,97.455
2017-07-12,1.37,97.52
2017-07-13,1.393,97.481
2017-07-14,1.39,97.499
2017-07-17,1.388,97.507
2017-07-18,1.379,97.525
2017-07-19,1.388,97.513
2017-07-20,1.383,97.526
2017-07-21,1.372,97.555
2017-07-24,1.385,97.537
2017-07-25,1.42,97.479
2017-07-26,1.382,97.55
2017-07-27,1.387,97.545
2017-07-28,1.37,97.584
2017-07-31,1.372,97.586
2017-08-01,1.366,97.599
2017-08-02,1.38,97.579
2017-08-03,1.356,97.623
2017-08-04,1.37,97.609
2017-08-07,1.37,97.614
2017-08-08,1.37,97.618
2017-08-09,1.359,97.641
2017-08-10,1.349,97.661
2017-08-11,1.319,97.721
2017-08-14,1.341,97.688
2017-08-15,1.371,97.641
2017-08-16,1.352,97.676
2017-08-17,1.32,97.734
2017-08-18,1.329,97.73
2017-08-21,1.324,97.742
2017-08-22,1.343,97.713
2017-08-23,1.326,97.745
2017-08-24,1.352,97.706
2017-08-25,1.352,97.715
2017-08-28,1.342,97.736
2017-08-29,1.321,97.774
2017-08-30,1.333,97.758
2017-08-31,1.327,97.773
2017-09-01,1.349,97.75
2017-09-05,1.298,97.836
2017-09-06,1.308,97.824
2017-09-07,1.27,97.889
2017-09-08,1.27,97.901
2017-09-11,1.321,97.821
2017-09-12,1.337,97.797
2017-09-13,1.35,97.78
2017-09-14,1.367,97.756
2017-09-15,1.387,97.735
2017-09-18,1.398,97.72
2017-09-19,1.411,97.705
2017-09-20,1.447,97.65
2017-09-21,1.451,97.647
2017-09-22,1.439,97.678
2017-09-25,1.429,97.697
2017-09-26,1.435,97.692
2017-09-27,1.451,97.67
2017-09-28,1.432,97.704
2017-09-29,1.467,97.661
2017-10-02,1.474,97.654
2017-10-03,1.459,97.681
2017-10-04,1.457,97.687
2017-10-05,1.484,97.65
2017-10-06,1.497,97.645
2017-10-10,1.503,97.64
2017-10-11,1.513,97.629
2017-10-12,1.509,97.639
2017-10-13,1.484,97.689
2017-10-16,1.528,97.625
2017-10-17,1.537,97.616
2017-10-18,1.554,97.595
2017-10-19,1.522,97.647
2017-10-20,1.564,97.596
2017-10-23,1.548,97.623
2017-10-24,1.565,97.602
2017-10-25,1.563,97.61
2017-10-26,1.584,97.581
2017-10-27,1.55,97.645
2017-10-30,1.548,97.653
2017-10-31,1.569,97.625
2017-11-01,1.586,97.604
2017-11-02,1.586,97.608
2017-11-03,1.582,97.626
2017-11-06,1.589,97.62
2017-11-07,1.612,97.591
2017-11-08,1.615,97.591
2017-11-09,1.602,97.615
2017-11-10,1.621,97.599
2017-11-13,1.641,97.573
2017-11-14,1.646,97.57
2017-11-15,1.618,97.615
2017-11-16,1.646,97.58
2017-11-17,1.658,97.577
2017-11-20,1.676,97.554
2017-11-21,1.701,97.524
