Date,Yield,Price
2017-11-22,1.651,97.603
2017-11-24,1.666,97.596
2017-11-27,1.653,97.618
2017-11-28,1.651,97.625
2017-11-29,1.676,97.595
2017-11-30,1.702,97.562
2017-12-01,1.704,97.573
2017-12-04,1.739,97.529
2017-12-05,1.753,97.515
2017-12-06,1.737,97.542
2017-12-07,1.734,97.551
2017-12-08,1.726,97.575
2017-12-11,1.755,97.539
2017-12-12,1.776,97.517
2017-12-13,1.735,97.578
2017-12-14,1.775,97.527
2017-12-15,1.798,97.509
2017-12-18,1.796,97.518
2017-12-19,1.817,97.493
2017-12-20,1.823,97.49
2017-12-21,1.84,97.472
2017-12-22,1.854,97.474
2017-12-26,1.855,97.478
2017-12-27,1.83,97.515
2017-12-28,1.851,97.492
2017-12-29,1.837,97.53
2018-01-02,1.882,97.476
2018-01-03,1.883,97.481
2018-01-04,1.903,97.459
2018-01-05,1.908,97.467
2018-01-08,1.903,97.478
2018-01-09,1.918,97.465
2018-01-10,1.918,97.469
2018-01-11,1.928,97.463
2018-01-12,1.941,97.467
2018-01-16,1.946,97.464
2018-01-17,1.964,97.446
2018-01-18,1.956,97.463
2018-01-19,1.974,97.456
2018-01-22,1.972,97.463
2018-01-23,1.962,97.481
2018-01-24,1.977,97.468
2018-01-25,1.989,97.458
2018-01-26,2.02,97.436
2018-01-29,2.006,97.458
2018-01-30,2.016,97.45
2018-01-31,2.03,97.439
2018-02-01,2.05,97.419
2018-02-02,2.033,97.458
2018-02-05,1.93,97.589
2018-02-06,2.017,97.487
2018-02-07,2.045,97.459
2018-02-08,2.03,97.483
2018-02-09,2.034,97.493
2018-02-12,2.018,97.519
2018-02-13,2.055,97.479
2018-02-14,2.095,97.438
2018-02-15,2.076,97.466
2018-02-16,2.062,97.505
2018-02-20,2.096,97.469
2018-02-21,2.095,97.477
2018-02-22,2.075,97.506
2018-02-23,2.075,97.523
2018-03-05,2.052,97.593
2018-03-06,2.069,97.578
2018-03-07,2.069,97.584
2018-03-08,2.059,97.602
2018-03-09,2.06,97.616
2018-03-12,2.063,97.619
2018-03-13,2.059,97.629
2018-03-14,2.069,97.623
2018-03-15,2.092,97.603
2018-03-16,2.089,97.623
2018-03-19,2.112,97.604
2018-03-20,2.148,97.569
2018-03-21,2.105,97.622
2018-03-22,2.101,97.633
2018-03-23,2.072,97.682
2018-03-26,2.085,97.673
2018-03-27,2.065,97.7
2018-03-28,2.087,97.682
2018-03-29,2.083,97.708
2018-04-02,2.052,97.748
2018-04-03,2.086,97.716
2018-04-04,2.093,97.714
2018-04-05,2.103,97.709
2018-04-06,2.08,97.75
2018-04-09,2.086,97.749
2018-04-10,2.111,97.73
2018-04-11,2.099,97.747
2018-04-12,2.141,97.709
2018-04-13,2.147,97.72
2018-04-16,2.158,97.714
2018-04-17,2.175,97.702
2018-04-18,2.205,97.676
2018-04-19,2.21,97.678
2018-04-20,2.234,97.671
